date,close,gain,loss,avg_gain,avg_loss,rsi
1,0.011638115931057317,0,0,0,0,0
2,0.011912824284250953,0.00027470835319363604,0,0,0,0
3,0.012655503588881801,0.0007426793046308479,0,0,0,0
4,0.01307787621082983,0.0004223726219480285,0,0,0,0
5,0.014446811356478732,0.0013689351456489026,0,0,0,0
6,0.015284939027030703,0.0008381276705519709,0,0,0,0
7,0.014927950832534119,0,0.00035698819449658456,0,0,0
8,0.013888934700964627,0,0.0010390161315694917,0,0,0
9,0.013862672906241193,0,2.6261794723434276e-05,0,0,0
10,0.013875522805625632,1.2849899384438992e-05,0,0,0,0
11,0.013411545205500601,0,0.00046397760012503036,0,0,0
12,0.01386242990187113,0.0004508846963705293,0,0,0,0
13,0.013346991065862292,0,0.0005154388360088386,0,0,0
14,0.013458756246745982,0.00011176518088368975,0,0,0,0
15,0.013512633843580488,0.0,0,0.0,0.0,64.04
16,0.014284915771311295,0.0,0,0.0,0.0,68.02
17,0.014157569938800667,0,0.0,0.0,0.0,66.71
18,0.015468119089410983,0.0,0,0.0,0.0,72.57
19,0.015961711320766056,0.0,0,0.0,0.0,74.4
20,0.014878499706886119,0,0.0,0.0,0.0,64.27
21,0.01675554627706616,0.0,0,0.0,0.0,71.51
22,0.018996372521058617,0.0,0,0.0,0.0,77.4
23,0.02085365207664341,0.0,0,0.0,0.0,80.92
24,0.022017738576989083,0.0,0,0.0,0.0,82.73
25,0.021862839764839596,0,0.0,0.0,0.0,81.62
26,0.019042835375253815,0,0.0,0.0,0.0,64.59
27,0.01806258128364958,0,0.0,0.0,0.0,59.91
28,0.016995425468176187,0,0.0,0.0,0.0,55.22
29,0.015044815367329349,0,0.0,0.0,0.0,47.85
30,0.01575217371320857,0.0,0,0.0,0.0,50.43
31,0.013682719233712441,0,0.0,0.0,0.0,43.62
32,0.013516759240331215,0,0.0,0.0,0.0,43.12
33,0.01218459133613698,0,0.0,0.0,0.0,39.21
34,0.012973311446192496,0.0,0,0.0,0.0,42.53
35,0.016638599307139266,0.0,0,0.0,0.0,54.87
36,0.01959460341839119,0.0,0,0.0,0.0,61.96
37,0.020031942215823797,0.0,0,0.0,0.0,62.89
38,0.022117540210323243,0.0,0,0.0,0.0,67.03
39,0.02242552856028222,0.0,0,0.0,0.0,67.6
40,0.02040005375745421,0,0.0,0.0,0.0,60.18
41,0.020862063769307028,0.0,0,0.0,0.0,61.23
42,0.021008508079852297,0.0,0,0.0,0.0,61.57
43,0.02102654193190808,0.0,0,0.0,0.0,61.62
44,0.020836868239928485,0,0.0,0.0,0.0,60.8
45,0.020872767574092416,0.0,0,0.0,0.0,60.91
46,0.01935179829856031,0,0.0,0.0,0.0,54.28
47,0.021282054092548144,0.0,0,0.0,0.0,60.2
48,0.021303844176989137,0.0,0,0.0,0.0,60.26
49,0.020564968426180195,0,0.0,0.0,0.0,56.99
50,0.020570880751638713,0.0,0,0.0,0.0,57.01
51,0.020488321483999088,0,0.0,0.0,0.0,56.62
