date,close,gain,loss,avg_gain,avg_loss,rsi
1,2593.29820569071,0,0,0,0,0
2,3019.18906087793,425.89085518722004,0,0,0,0
3,3132.799450509691,113.61038963176088,0,0,0,0
4,3401.048537263254,268.249086753563,0,0,0,0
5,3162.646891466328,0,238.401645796926,0,0,0
6,3109.2687452222563,0,53.37814624407156,0,0,0
7,3014.6549474501535,0,94.61379777210277,0,0,0
8,3447.233792202305,432.5788447521513,0,0,0,0
9,3695.3715051556246,248.1377129533198,0,0,0,0
10,3434.4380267067213,0,260.9334784489033,0,0,0
11,3602.354146240135,167.91611953341362,0,0,0,0
12,3573.8433337474,0,28.510812492735113,0,0,0
13,3708.7381722615896,134.89483851418981,0,0,0,0
14,3361.1731096637695,0,347.5650625978201,0,0,0
15,3407.98,46.81,0,131.29,73.1,64.24
16,2961.98,0,446.0,121.91,99.74,55.0
17,3152.34,190.36,0,126.8,92.61,57.79
18,3183.28,30.94,0,119.96,86.0,58.24
19,3081.61,0,101.68,111.39,87.12,56.11
20,3125.88,44.28,0,106.59,80.89,56.85
21,3873.35,747.46,0,152.37,75.12,66.98
22,3377.28,0,496.06,141.49,105.18,57.36
23,3394.71,17.43,0,132.63,97.67,57.59
24,2894.98,0,499.73,123.15,126.39,49.35
25,2625.68,0,269.3,114.36,136.6,45.57
26,2667.79,42.11,0,109.2,126.84,46.26
27,2056.45,0,611.34,101.4,161.45,38.58
28,2021.03,0,35.42,94.15,152.45,38.18
29,2205.79,184.76,0,100.62,141.56,41.55
30,2376.46,170.68,0,105.63,131.45,44.56
31,2500.5,124.03,0,106.94,122.06,46.7
32,2337.23,0,163.27,99.3,125.0,44.27
33,2264.3,0,72.92,92.21,121.28,43.19
34,2629.69,365.39,0,111.72,112.62,49.8
35,2308.8,0,320.89,103.74,127.49,44.86
36,1852.14,0,456.67,96.33,151.01,38.95
37,1879.75,27.62,0,91.43,140.22,39.47
38,1762.73,0,117.02,84.89,138.56,37.99
39,1401.85,0,360.89,78.83,154.44,33.79
40,1496.52,94.67,0,79.96,143.41,35.8
41,1316.64,0,179.87,74.25,146.02,33.71
42,1553.95,237.3,0,85.9,135.59,38.78
43,1332.59,0,221.36,79.76,141.71,36.01
44,1398.22,65.63,0,78.75,131.59,37.44
45,945.57,0,452.65,73.13,154.52,32.12
46,1057.26,111.69,0,75.88,143.49,34.59
47,1169.43,112.17,0,78.47,133.24,37.07
48,1112.91,0,56.52,72.87,127.76,36.32
49,1135.25,22.34,0,69.26,118.63,36.86
50,1150.85,15.59,0,65.43,110.16,37.26
51,1205.35,54.5,0,64.65,102.29,38.73
52,990.32,0,215.03,60.03,110.34,35.23
53,943.14,0,47.18,55.74,105.83,34.5
54,814.39,0,128.75,51.76,107.47,32.51
55,886.26,71.87,0,53.2,99.79,34.77
56,874.54,0,11.73,49.4,93.5,34.57
57,594.64,0,279.9,45.87,106.82,30.04
58,616.74,22.1,0,44.17,99.19,30.81
59,539.4,0,77.34,41.01,97.63,29.58
60,476.9,0,62.5,38.09,95.12,28.59
61,437.49,0,39.41,35.36,91.14,27.96
62,476.89,39.4,0,35.65,84.63,29.64
63,527.88,50.99,0,36.75,78.58,31.86
64,587.51,59.62,0,38.38,72.97,34.47
65,572.15,0,15.36,35.64,68.85,34.11
66,546.65,0,25.5,33.1,65.76,33.48
67,597.14,50.49,0,34.34,61.06,35.99
68,674.18,77.04,0,37.39,56.7,39.74
69,819.5,145.32,0,45.1,52.65,46.14
70,877.24,57.74,0,46.0,48.89,48.48
71,866.08,0,11.16,42.71,46.19,48.04
72,779.86,0,86.22,39.66,49.05,44.71
73,509.78,0,270.08,36.83,64.84,36.23
74,719.37,209.59,0,49.17,60.21,44.95
75,826.06,106.69,0,53.28,55.91,48.8
76,840.6,14.54,0,50.51,51.91,49.32
77,864.0,23.4,0,48.58,48.21,50.19
78,939.34,75.34,0,50.49,44.76,53.0
79,986.8,47.47,0,50.27,41.57,54.74
80,840.26,0,146.54,46.68,49.06,48.76
81,957.04,116.78,0,51.69,45.56,53.15
82,1056.98,99.93,0,55.13,42.31,56.58
83,988.76,0,68.21,51.2,44.16,53.69
84,1174.31,185.55,0,60.79,41.0,59.72
85,1141.45,0,32.86,56.45,40.42,58.27
86,1379.72,238.27,0,69.44,37.53,64.91
87,1435.93,56.22,0,68.49,34.85,66.28
88,1393.07,0,42.86,63.6,35.42,64.23
89,1647.75,254.68,0,77.25,32.89,70.14
90,2068.27,420.52,0,101.77,30.54,76.91
91,1689.17,0,379.1,94.5,55.44,63.02
92,1862.18,173.01,0,100.11,51.48,66.04
93,1719.25,0,142.93,92.96,58.01,61.57
94,1628.5,0,90.75,86.32,60.35,58.85
95,1691.11,62.61,0,84.62,56.04,60.16
96,1758.79,67.68,0,83.41,52.04,61.58
97,1400.09,0,358.71,77.46,73.94,51.16
98,1323.4,0,76.69,71.92,74.14,49.24
99,1320.46,0,2.93,66.79,69.05,49.17
100,1284.91,0,35.55,62.01,66.66,48.2
101,1102.35,0,182.56,57.59,74.94,43.45
102,1099.73,0,2.62,53.47,69.77,43.39
103,1004.8,0,94.93,49.65,71.57,40.96
104,938.72,0,66.08,46.11,71.18,39.31
105,1015.52,76.8,0,48.3,66.09,42.22
106,1206.47,190.95,0,58.49,61.37,48.8
107,1208.95,2.48,0,54.49,56.99,48.88
108,1070.25,0,138.7,50.6,62.83,44.61
109,1140.07,69.82,0,51.97,58.34,47.11
110,1076.3,0,63.78,48.26,58.73,45.11
111,1080.7,4.4,0,45.12,54.53,45.28
112,1073.87,0,6.83,41.9,51.12,45.04
113,1141.42,67.56,0,43.73,47.47,47.95
114,1161.36,19.94,0,42.03,44.08,48.81
115,1149.63,0,11.73,39.03,41.77,48.3
116,1218.44,68.81,0,41.16,38.79,51.48
117,1303.99,85.55,0,44.33,36.02,55.17
118,1321.37,17.38,0,42.4,33.44,55.91
