date,close,gain,loss,avg_gain,avg_loss,rsi
1,580.5870271371734,0,0,0,0,0
2,585.2175000000001,4.63047286282665,0,0,0,0
3,582.0038,0,3.213700000000131,0,0,0
4,577.8880531621712,0,4.115746837828738,0,0,0
5,576.1163000000001,0,1.7717531621710805,0,0,0
6,578.1037999999998,1.9874999999996135,0,0,0,0
7,568.5750000000002,0,9.528799999999592,0,0,0
8,573.5288,4.953799999999887,0,0,0,0
9,572.5102283617088,0,1.0185716382912915,0,0,0
10,576.08,3.569771638291286,0,0,0,0
11,571.7582826763035,0,4.321717323696589,0,0,0
12,571.59,0,0.16828267630341998,0,0,0
13,573.9624999999999,2.3724999999998317,0,0,0,0
14,596.1950000000002,22.2325000000003,0,0,0,0
15,608.69,12.49,0,3.73,1.72,68.4
16,606.64,0,2.04,3.46,1.75,66.48
17,610.68,4.04,0,3.51,1.62,68.37
18,614.33,3.64,0,3.52,1.51,70.0
19,625.47,11.14,0,4.06,1.4,74.38
20,621.91,0,3.56,3.77,1.55,70.83
21,623.06,1.15,0,3.58,1.44,71.3
22,605.32,0,17.74,3.33,2.61,56.07
23,605.83,0.52,0,3.13,2.42,56.37
24,606.65,0.81,0,2.96,2.25,56.85
25,608.43,1.78,0,2.88,2.09,57.96
26,605.58,0,2.84,2.67,2.14,55.51
27,606.55,0.97,0,2.55,1.99,56.19
28,605.34,0,1.21,2.37,1.93,55.06
29,608.8,3.45,0,2.44,1.79,57.68
30,608.62,0,0.18,2.27,1.68,57.49
31,607.77,0,0.85,2.11,1.62,56.56
32,595.84,0,11.93,1.96,2.36,45.38
33,594.96,0,0.88,1.82,2.25,44.68
34,601.89,6.93,0,2.18,2.09,51.09
35,601.27,0,0.62,2.03,1.98,50.53
36,599.31,0,1.96,1.88,1.98,48.7
37,606.1,6.79,0,2.23,1.84,54.8
38,604.21,0,1.89,2.07,1.84,52.91
39,603.55,0,0.65,1.93,1.76,52.24
40,604.64,1.08,0,1.86,1.63,53.3
41,608.26,3.62,0,1.99,1.52,56.74
42,614.06,5.8,0,2.26,1.41,61.63
43,610.36,0,3.7,2.1,1.57,57.19
44,611.96,1.6,0,2.07,1.46,58.58
45,609.24,0,2.72,1.92,1.55,55.3
46,611.64,2.39,0,1.95,1.44,57.55
47,610.98,0,0.66,1.81,1.38,56.71
48,616.22,5.24,0,2.06,1.28,61.56
49,616.53,0.31,0,1.93,1.19,61.83
50,614.62,0,1.91,1.79,1.24,59.06
51,614.31,0,0.31,1.67,1.18,58.6
52,640.7,26.39,0,3.43,1.09,75.84
53,635.62,0,5.08,3.19,1.38,69.81
54,634.62,0,0.99,2.96,1.35,68.66
55,638.18,3.56,0,3.0,1.25,70.53
56,637.21,0,0.97,2.79,1.23,69.31
57,640.19,2.98,0,2.8,1.15,70.97
58,637.48,0,2.7,2.6,1.26,67.41
59,635.47,0,2.02,2.42,1.31,64.81
60,628.44,0,7.03,2.24,1.72,56.6
61,628.54,0.11,0,2.09,1.6,56.69
62,629.72,1.18,0,2.02,1.48,57.72
63,652.09,22.37,0,3.48,1.38,71.64
64,649.63,0,2.46,3.23,1.45,68.95
65,648.77,0,0.86,3.0,1.41,67.99
66,652.63,3.87,0,3.06,1.31,70.01
67,673.42,20.78,0,4.33,1.22,78.04
68,683.37,9.95,0,4.73,1.13,80.71
69,687.56,4.19,0,4.69,1.05,81.71
70,715.41,27.85,0,6.34,0.97,86.68
71,697.28,0,18.13,5.89,2.2,72.81
72,698.58,1.3,0,5.56,2.04,73.14
73,729.2,30.63,0,7.35,1.9,79.49
74,734.16,4.96,0,7.18,1.76,80.3
75,686.06,0,48.1,6.67,5.07,56.8
76,702.11,16.05,0,7.34,4.71,60.91
77,704.02,1.91,0,6.95,4.37,61.39
78,712.13,8.1,0,7.03,4.06,63.4
79,706.09,0,6.03,6.53,4.2,60.85
80,708.94,2.85,0,6.27,3.9,61.64
81,721.18,12.24,0,6.69,3.62,64.89
82,713.21,0,7.96,6.22,3.93,61.25
83,715.64,2.43,0,5.95,3.65,61.95
84,703.76,0,11.88,5.52,4.24,56.56
85,702.35,0,1.41,5.13,4.04,55.94
86,705.55,3.2,0,4.99,3.75,57.09
87,712.16,6.61,0,5.11,3.48,59.45
88,740.9,28.74,0,6.79,3.23,67.76
89,738.48,0,2.42,6.31,3.17,66.52
90,748.43,9.95,0,6.57,2.95,69.02
91,750.41,1.98,0,6.24,2.74,69.51
92,728.37,0,22.04,5.79,4.12,58.47
93,736.5,8.13,0,5.96,3.82,60.93
94,748.12,11.62,0,6.37,3.55,64.2
95,741.17,0,6.96,5.91,3.79,60.92
96,736.75,0,4.42,5.49,3.84,58.86
97,738.2,1.46,0,5.2,3.56,59.34
98,732.73,0,5.47,4.83,3.7,56.62
99,727.76,0,4.98,4.48,3.79,54.19
100,731.84,4.08,0,4.46,3.52,55.87
101,731.81,0,0.03,4.14,3.27,55.85
102,742.36,10.55,0,4.6,3.04,60.21
103,753.06,10.7,0,5.03,2.82,64.08
104,771.17,18.12,0,5.97,2.62,69.5
105,764.83,0,6.34,5.54,2.88,65.76
106,766.37,1.53,0,5.25,2.68,66.23
107,752.24,0,14.13,4.88,3.5,58.25
108,758.69,6.45,0,4.99,3.25,60.59
109,763.91,5.22,0,5.01,3.01,62.42
110,768.67,4.76,0,4.99,2.8,64.06
111,769.84,1.17,0,4.72,2.6,64.47
