date,close,gain,loss,avg_gain,avg_loss,rsi
1,2486.5208821073184,0,0,0,0,0
2,2405.869193108027,0,80.65168899929131,0,0,0
3,2201.6012507547784,0,204.2679423532486,0,0,0
4,2120.959366204355,0,80.64188455042358,0,0,0
5,1961.0020794751565,0,159.95728672919836,0,0,0
6,2054.0449678501145,93.04288837495801,0,0,0,0
7,1942.6792771380876,0,111.36569071202689,0,0,0
8,1867.5201072859354,0,75.15916985215222,0,0,0
9,2024.7865463367064,157.26643905077094,0,0,0,0
10,2010.756898110493,0,14.02964822621334,0,0,0
11,2010.5847311214295,0,0.17216698906349848,0,0,0
12,2083.863978209309,73.27924708787964,0,0,0,0
13,2048.067775087191,0,35.796203122118186,0,0,0
14,1930.7041050172938,0,117.36367006989713,0,0,0
15,1957.898938316997,27.19,0,25.06,62.81,28.51
16,1976.9071969467243,19.01,0,24.62,58.33,29.68
17,1983.8664456016554,6.96,0,23.36,54.16,30.14
18,1856.6793860724617,0,127.19,21.69,59.38,26.76
19,1922.2599078797145,65.58,0,24.83,55.14,31.05
20,1951.1281622859528,28.87,0,25.12,51.2,32.91
21,1958.315330206845,7.19,0,23.84,47.54,33.39
22,1980.0938601750524,21.78,0,23.69,44.15,34.92
23,1897.5683301859929,0,82.53,22.0,46.89,31.93
24,1862.9033138487982,0,34.67,20.43,46.01,30.74
25,1872.3140359358556,9.41,0,19.64,42.73,31.49
26,1892.8914008588906,20.58,0,19.71,39.68,33.19
27,1935.7958105019545,42.9,0,21.36,36.84,36.7
28,1986.1736349536202,50.38,0,23.44,34.21,40.65
29,2055.378709462468,69.21,0,26.7,31.77,45.67
30,2070.1905473263837,14.81,0,25.86,29.5,46.71
31,2153.362613372659,83.17,0,29.95,27.39,52.23
32,2056.0817376920036,0,97.28,27.81,32.38,46.2
33,2113.084756310539,57.0,0,29.9,30.07,49.85
34,2020.2686370775862,0,92.82,27.76,34.55,44.55
35,2104.6736800926924,84.41,0,31.81,32.08,49.78
36,2140.868079244695,36.19,0,32.12,29.79,51.88
37,2233.6762432219043,92.81,0,36.45,27.66,56.86
38,2234.8904664986485,1.21,0,33.94,25.69,56.92
39,2251.782083693833,16.89,0,32.72,23.85,57.84
40,2274.9712255220925,23.19,0,32.04,22.15,59.13
41,2309.4140104206413,34.44,0,32.21,20.57,61.03
42,2316.332761402614,6.92,0,30.4,19.1,61.42
43,2249.9193055489104,0,66.41,28.23,22.48,55.67
44,2252.152024678755,2.23,0,26.38,20.87,55.82
45,2302.6109016690166,50.46,0,28.1,19.38,59.18
46,2304.7959711202952,2.19,0,26.24,18.0,59.32
47,2393.7514100917974,88.96,0,30.72,16.71,64.77
