date,close,gain,loss,avg_gain,avg_loss,rsi
1,2221.5835351590013,0,0,0,0,0
2,2345.088762107927,123.50522694892561,0,0,0,0
3,2546.8917476141146,201.80298550618772,0,0,0,0
4,2475.3441724531863,0,71.54757516092832,0,0,0
5,2447.416393527654,0,27.927778925532493,0,0,0
6,2635.3549875591307,187.9385940314769,0,0,0,0
7,2625.8841020554273,0,9.470885503703357,0,0,0
8,2478.8326346833996,0,147.05146737202767,0,0,0
9,2532.809916862266,53.97728217886652,0,0,0,0
10,2526.0067387044082,0,6.8031781578579285,0,0,0
11,2400.2301807665817,0,125.77655793782651,0,0,0
12,2470.476880219964,70.24669945338246,0,0,0,0
13,2489.5377709529525,19.060890732988355,0,0,0,0
14,2517.3300192628226,27.792248309870047,0,0,0,0
15,2434.734107188199,0,82.6,48.88,33.66,59.22
16,2288.9936912157036,0,145.74,45.39,41.66,52.14
17,2364.8176100845117,75.82,0,47.56,38.69,55.15
18,2280.348313290487,0,84.47,44.17,41.96,51.28
19,2204.6797737242255,0,75.67,41.01,44.36,48.04
20,2200.258580458739,0,4.42,38.08,41.51,47.85
21,2329.2748985745898,129.02,0,44.58,38.55,53.63
22,2353.6011855178895,24.33,0,43.13,35.79,54.65
23,2365.533658828386,11.93,0,40.9,33.24,55.17
24,2359.7742921387376,0,5.76,37.98,31.27,54.84
25,2323.9790053604656,0,35.8,35.27,31.6,52.75
26,2167.620072551033,0,156.36,32.75,40.51,44.7
27,1969.4944720182125,0,198.13,30.41,51.77,37.01
28,1937.1158082377694,0,32.38,28.24,50.38,35.92
29,1708.0284798068346,0,229.09,26.22,63.15,29.34
30,1702.6899442820488,0,5.34,24.35,59.02,29.21
31,1592.4215111464428,0,110.27,22.61,62.68,26.51
32,1634.7007928264463,42.28,0,24.01,58.2,29.21
33,1517.9062467689255,0,116.79,22.3,62.39,26.33
34,1499.7426021224314,0,18.16,20.71,59.23,25.9
35,1597.0276219151779,97.29,0,26.18,55.0,32.25
36,1638.7834497801623,41.76,0,27.29,51.07,34.83
37,1712.3712270225385,73.59,0,30.6,47.42,39.22
38,1677.249648593266,0,35.12,28.41,46.54,37.9
39,1710.4577857984007,33.21,0,28.75,43.22,39.95
40,1684.8821648678545,0,25.58,26.7,41.96,38.89
41,1770.9307998499664,86.05,0,30.94,38.96,44.26
42,1842.9356957298944,72.0,0,33.87,36.18,48.35
43,1927.1562698240903,84.22,0,37.47,33.59,52.73
44,2019.6107419871341,92.45,0,41.4,31.19,57.03
45,2087.120355424194,67.51,0,43.26,28.97,59.9
46,2214.7614732602015,127.64,0,49.29,26.9,64.7
47,2190.047098982501,0,24.71,45.77,26.74,63.12
48,2349.430349695415,159.38,0,53.88,24.83,68.45
49,2376.0802938318584,26.65,0,51.94,23.06,69.25
50,2409.4838082874717,33.4,0,50.61,21.41,70.27
51,2374.673522825509,0,34.81,47.0,22.37,67.75
