date,close,gain,loss,avg_gain,avg_loss,rsi
1,23.859675196470487,0,0,0,0,0
2,24.605663173641325,0.745987977170838,0,0,0,0
3,23.060762210436526,0,1.5449009632047996,0,0,0
4,24.266010124282058,1.2052479138455325,0,0,0,0
5,24.552333331167628,0.28632320688556945,0,0,0,0
6,25.937034044277098,1.3847007131094706,0,0,0,0
7,24.931095569368058,0,1.0059384749090405,0,0,0
8,27.717304857796975,2.7862092884289176,0,0,0,0
9,27.152873282707734,0,0.564431575089241,0,0,0
10,27.767667533129988,0.6147942504222534,0,0,0,0
11,28.072357295846555,0.304689762716567,0,0,0,0
12,26.09774008995519,0,1.974617205891363,0,0,0
13,25.691785250059684,0,0.4059548398955073,0,0,0
14,26.948708518640366,1.2569232685806817,0,0,0,0
15,28.66,1.72,0,0.74,0.39,65.21
16,27.89,0,0.77,0.68,0.42,61.94
17,27.98,0.09,0,0.64,0.39,62.18
18,28.5,0.52,0,0.63,0.36,63.59
19,25.93,0,2.57,0.59,0.52,53.03
20,26.57,0.64,0,0.59,0.48,55.03
21,24.81,0,1.75,0.55,0.57,48.89
22,25.97,1.15,0,0.59,0.53,52.63
23,25.7,0,0.26,0.55,0.51,51.7
24,25.81,0.1,0,0.52,0.48,52.06
25,25.11,0,0.7,0.48,0.49,49.39
26,26.73,1.63,0,0.56,0.46,55.16
27,29.63,2.89,0,0.73,0.42,63.19
28,30.06,0.43,0,0.71,0.39,64.22
29,30.71,0.65,0,0.7,0.37,65.77
30,29.96,0,0.75,0.65,0.39,62.41
31,33.28,3.32,0,0.84,0.37,69.79
32,34.89,1.61,0,0.9,0.34,72.6
33,28.35,0,6.55,0.83,0.78,51.61
34,27.17,0,1.18,0.77,0.81,48.86
35,28.01,0.84,0,0.78,0.75,50.87
36,26.31,0,1.7,0.72,0.82,46.88
37,26.93,0.62,0,0.72,0.76,48.46
38,29.42,2.49,0,0.84,0.71,54.37
39,27.12,0,2.3,0.78,0.82,48.8
40,30.49,3.37,0,0.97,0.76,55.92
41,30.67,0.18,0,0.91,0.71,56.28
42,29.92,0,0.75,0.85,0.71,54.34
43,27.7,0,2.22,0.79,0.82,48.98
44,28.41,0.71,0,0.78,0.76,50.65
45,27.44,0,0.97,0.72,0.78,48.31
46,23.53,0,3.91,0.67,1.0,40.24
47,21.21,0,2.32,0.62,1.09,36.36
48,24.33,3.12,0,0.8,1.02,44.16
49,25.36,1.03,0,0.82,0.94,46.5
50,23.19,0,2.17,0.76,1.03,42.48
51,24.67,1.47,0,0.81,0.96,45.9
52,24.55,0,0.11,0.75,0.9,45.67
53,23.09,0,1.47,0.7,0.94,42.75
54,22.11,0,0.98,0.65,0.94,40.87
55,22.92,0.81,0,0.66,0.87,43.11
56,23.93,1.01,0,0.69,0.81,45.85
57,26.31,2.38,0,0.81,0.75,51.75
58,26.97,0.66,0,0.8,0.7,53.28
59,27.61,0.63,0,0.79,0.65,54.76
60,26.61,0,1.0,0.73,0.67,51.96
61,27.27,0.67,0,0.72,0.63,53.65
62,26.89,0,0.38,0.67,0.61,52.52
63,26.89,0,0.0,0.63,0.57,52.51
64,26.27,0,0.62,0.58,0.57,50.48
65,27.45,1.18,0,0.62,0.53,54.1
66,25.62,0,1.83,0.58,0.62,48.22
67,25.21,0,0.41,0.54,0.61,46.99
68,24.66,0,0.55,0.5,0.6,45.3
69,25.53,0.87,0,0.53,0.56,48.43
70,26.68,1.15,0,0.57,0.52,52.33
71,27.08,0.41,0,0.56,0.48,53.65
72,27.38,0.3,0,0.54,0.45,54.65
73,26.51,0,0.88,0.5,0.48,51.17
74,25.69,0,0.82,0.47,0.5,48.07
75,25.95,0.26,0,0.45,0.47,49.12
76,27.53,1.58,0,0.53,0.43,55.08
77,28.41,0.88,0,0.56,0.4,58.01
78,28.77,0.37,0,0.54,0.37,59.22
79,31.4,2.62,0,0.69,0.35,66.58
80,29.78,0,1.62,0.64,0.44,59.46
81,32.55,2.77,0,0.79,0.41,66.13
82,32.45,0,0.1,0.74,0.38,65.73
83,28.96,0,3.49,0.68,0.61,53.03
84,30.22,1.26,0,0.73,0.56,56.31
85,30.98,0.76,0,0.73,0.52,58.2
86,29.67,0,1.3,0.68,0.58,53.88
87,30.01,0.34,0,0.65,0.54,54.82
88,31.66,1.64,0,0.72,0.5,59.16
89,32.3,0.65,0,0.72,0.46,60.76
90,31.93,0,0.37,0.67,0.46,59.33
91,31.05,0,0.88,0.62,0.49,55.95
92,32.99,1.94,0,0.71,0.45,61.18
93,32.08,0,0.91,0.66,0.48,57.71
94,32.37,0.29,0,0.63,0.45,58.52
95,34.53,2.16,0,0.74,0.42,64.03
96,33.91,0,0.62,0.69,0.43,61.51
97,34.29,0.38,0,0.67,0.4,62.48
98,34.89,0.61,0,0.66,0.37,64.05
99,34.41,0,0.48,0.62,0.38,61.84
100,34.16,0,0.25,0.57,0.37,60.65
101,33.91,0,0.25,0.53,0.36,59.46
102,32.19,0,1.72,0.49,0.46,51.78
103,29.41,0,2.78,0.46,0.63,42.3
104,29.27,0,0.14,0.43,0.59,41.89
105,26.46,0,2.81,0.4,0.75,34.54
106,28.43,1.97,0,0.51,0.7,42.19
107,28.43,0.0,0,0.47,0.65,42.2
108,29.27,0.84,0,0.5,0.6,45.36
109,26.79,0,2.48,0.46,0.73,38.63
110,26.97,0.18,0,0.44,0.68,39.35
111,25.61,0,1.37,0.41,0.73,35.98
112,26.35,0.75,0,0.43,0.68,39.05
113,23.9,0,2.45,0.4,0.8,33.4
114,23.97,0.07,0,0.38,0.75,33.68
115,24.78,0.81,0,0.41,0.69,37.17
116,24.97,0.19,0,0.39,0.64,37.99
117,25.34,0.36,0,0.39,0.6,39.62
118,25.38,0.05,0,0.37,0.56,39.83
119,24.54,0,0.84,0.34,0.58,37.21
120,23.34,0,1.2,0.32,0.62,33.8
121,20.54,0,2.8,0.29,0.78,27.49
122,19.37,0,1.16,0.27,0.8,25.37
123,19.82,0.45,0,0.29,0.75,27.68
124,20.81,0.98,0,0.34,0.69,32.62
125,22.75,1.94,0,0.45,0.64,41.15
126,20.42,0,2.33,0.42,0.76,35.37
127,18.57,0,1.85,0.39,0.84,31.58
128,19.89,1.32,0,0.45,0.78,36.8
129,20.45,0.56,0,0.46,0.73,38.91
130,17.72,0,2.73,0.43,0.87,33.07
131,18.44,0.72,0,0.45,0.81,35.79
132,19.74,1.31,0,0.51,0.75,40.55
133,18.83,0,0.91,0.47,0.76,38.41
134,18.34,0,0.49,0.44,0.74,37.27
135,19.57,1.23,0,0.5,0.69,41.92
136,18.95,0,0.62,0.46,0.68,40.29
137,18.93,0,0.02,0.43,0.64,40.23
138,19.52,0.6,0,0.44,0.59,42.7
139,20.03,0.5,0,0.44,0.55,44.77
140,22.24,2.21,0,0.57,0.51,52.85
141,21.52,0,0.72,0.53,0.52,50.28
142,22.22,0.7,0,0.54,0.49,52.69
143,23.07,0.85,0,0.56,0.45,55.51
144,23.08,0.01,0,0.52,0.42,55.54
145,20.49,0,2.59,0.49,0.57,45.88
146,19.76,0,0.73,0.45,0.59,43.57
147,19.95,0.19,0,0.43,0.54,44.36
