date,close,gain,loss,avg_gain,avg_loss,rsi
1,0.00040216834984007987,0,0,0,0,0
2,0.0004156501953076459,1.348184546756605e-05,0,0,0,0
3,0.0004542148582342822,3.8564662926636266e-05,0,0,0,0
4,0.0004714847516336859,1.7269893399403705e-05,0,0,0,0
5,0.0005099433654183786,3.8458613784692725e-05,0,0,0,0
6,0.0004868442588414505,0,2.3099106576928113e-05,0,0,0
7,0.0005147530072350275,2.7908748393577027e-05,0,0,0,0
8,0.0005354694688954641,2.07164616604366e-05,0,0,0,0
9,0.0004938792199154151,0,4.159024898004902e-05,0,0,0
10,0.0004973251619525461,3.4459420371309515e-06,0,0,0,0
11,0.0004973677480591615,4.2586106615400375e-08,0,0,0,0
12,0.00047987777055358126,0,1.7489977505580204e-05,0,0,0
13,0.0004882650916947451,8.387321141163845e-06,0,0,0,0
14,0.0005179457574059712,2.968066571122608e-05,0,0,0,0
15,0.0005107515921427469,0,0.0,0.0,0.0,68.9
16,0.0005058406391278614,0,0.0,0.0,0.0,67.65
17,0.0005040661896455061,0,0.0,0.0,0.0,67.18
18,0.0005385959511918513,0.0,0,0.0,0.0,71.37
19,0.0005202210148070024,0,0.0,0.0,0.0,66.5
20,0.0005125239947479382,0,0.0,0.0,0.0,64.52
21,0.0005106429922572154,0,0.0,0.0,0.0,64.02
22,0.000505026564706177,0,0.0,0.0,0.0,62.45
23,0.0005269902454063319,0.0,0,0.0,0.0,65.96
24,0.0005367965114270899,0.0,0,0.0,0.0,67.42
25,0.0005340984369110713,0,0.0,0.0,0.0,66.57
26,0.0005282923254584255,0,0.0,0.0,0.0,64.69
27,0.0005165834095594507,0,0.0,0.0,0.0,60.94
28,0.0005034806536556162,0,0.0,0.0,0.0,56.97
29,0.00048652834409359266,0,0.0,0.0,0.0,52.22
30,0.00048304732204070927,0,0.0,0.0,0.0,51.28
31,0.00046438997026783667,0,0.0,0.0,0.0,46.43
32,0.00048636198730237336,0.0,0,0.0,0.0,52.16
33,0.0004732417840853706,0,0.0,0.0,0.0,48.8
34,0.0004949836777382967,0.0,0,0.0,0.0,54.08
35,0.0004751330381800369,0,0.0,0.0,0.0,49.11
36,0.0004671002429784478,0,0.0,0.0,0.0,47.21
37,0.0004476924545508788,0,0.0,0.0,0.0,42.91
38,0.0004474492217807332,0,0.0,0.0,0.0,42.85
39,0.00044409270650186346,0,0.0,0.0,0.0,42.08
40,0.00043956599924489413,0,0.0,0.0,0.0,41.02
41,0.0004330102768441497,0,0.0,0.0,0.0,39.45
42,0.0004317169003794031,0,0.0,0.0,0.0,39.14
43,0.00044446038466078726,0.0,0,0.0,0.0,43.91
44,0.00044401975934224027,0,0.0,0.0,0.0,43.79
45,0.0004342896141398286,0,0.0,0.0,0.0,40.95
46,0.00043387788443327097,0,0.0,0.0,0.0,40.83
47,0.0004177543231031042,0,0.0,0.0,0.0,36.32
48,0.0003932285739741603,0,0.0,0.0,0.0,30.75
49,0.0003927973658612214,0,0.0,0.0,0.0,30.66
50,0.00041078652452434877,0.0,0,0.0,0.0,38.64
51,0.000450129371312805,0.0,0,0.0,0.0,51.72
52,0.0004264230915938258,0,0.0,0.0,0.0,45.43
