date,close,gain,loss,avg_gain,avg_loss,rsi
1,0.059592498706436715,0,0,0,0,0
2,0.05619535552875412,0,0.003397143177682596,0,0,0
3,0.051891302208003344,0,0.004304053320750775,0,0,0
4,0.05723142933037574,0.005340127122372397,0,0,0,0
5,0.06418484685421023,0.006953417523834493,0,0,0,0
6,0.056515756056562554,0,0.0076690907976476805,0,0,0
7,0.0490815758497945,0,0.007434180206768053,0,0,0
8,0.0417766492926022,0,0.0073049265571923025,0,0,0
9,0.03996052766660751,0,0.0018161216259946905,0,0,0
10,0.03892868414668484,0,0.001031843519922665,0,0,0
11,0.03802978974918509,0,0.0008988943974997526,0,0,0
12,0.033339119010416696,0,0.004690670738768395,0,0,0
13,0.031164284351397196,0,0.002174834659019499,0,0,0
14,0.028285436101068092,0,0.0028788482503291045,0,0,0
15,0.03,0,0.0,0.0,0.0,21.53
16,0.03,0.0,0,0.0,0.0,25.07
17,0.04,0.01,0,0.0,0.0,32.85
18,0.04,0.01,0,0.0,0.0,39.12
19,0.04,0,0.01,0.0,0.0,35.77
20,0.04,0.0,0,0.0,0.0,40.36
21,0.05,0.01,0,0.0,0.0,45.43
22,0.06,0.01,0,0.0,0.0,53.96
23,0.05,0,0.01,0.0,0.0,47.96
24,0.05,0,0.0,0.0,0.0,47.67
25,0.05,0.0,0,0.0,0.0,49.71
26,0.06,0.01,0,0.0,0.0,54.78
27,0.06,0.0,0,0.0,0.0,57.01
28,0.05,0,0.01,0.0,0.0,45.88
29,0.04,0,0.0,0.0,0.0,45.49
30,0.04,0,0.01,0.0,0.0,41.37
31,0.04,0.0,0,0.0,0.0,44.97
32,0.05,0.01,0,0.0,0.0,52.02
33,0.04,0,0.01,0.0,0.0,46.24
34,0.04,0.0,0,0.0,0.0,47.08
35,0.05,0.0,0,0.0,0.0,49.63
36,0.03,0,0.02,0.0,0.0,37.01
37,0.03,0.0,0,0.0,0.0,39.97
38,0.03,0,0.0,0.0,0.0,38.33
39,0.03,0.0,0,0.0,0.0,38.54
40,0.02,0,0.0,0.0,0.0,36.18
41,0.03,0.0,0,0.0,0.0,38.89
42,0.02,0,0.0,0.0,0.0,37.33
43,0.02,0.0,0,0.0,0.0,38.69
44,0.02,0.0,0,0.0,0.0,39.4
45,0.02,0,0.0,0.0,0.0,38.34
46,0.02,0,0.0,0.0,0.0,38.09
47,0.02,0,0.0,0.0,0.0,37.93
48,0.02,0,0.0,0.0,0.0,35.22
49,0.02,0.0,0,0.0,0.0,36.63
50,0.02,0.0,0,0.0,0.0,38.39
51,0.02,0,0.0,0.0,0.0,35.17
52,0.01,0,0.0,0.0,0.0,31.83
53,0.01,0.0,0,0.0,0.0,34.51
54,0.01,0,0.0,0.0,0.0,33.48
55,0.01,0,0.0,0.0,0.0,32.45
56,0.01,0.0,0,0.0,0.0,33.44
57,0.01,0.0,0,0.0,0.0,34.76
58,0.01,0,0.0,0.0,0.0,34.54
59,0.01,0.0,0,0.0,0.0,35.85
60,0.02,0.0,0,0.0,0.0,41.86
61,0.02,0.0,0,0.0,0.0,46.54
62,0.02,0.0,0,0.0,0.0,48.54
63,0.02,0,0.0,0.0,0.0,47.37
64,0.02,0.0,0,0.0,0.0,50.25
65,0.02,0,0.0,0.0,0.0,43.98
66,0.02,0.0,0,0.0,0.0,46.95
67,0.02,0.0,0,0.0,0.0,52.77
68,0.02,0.0,0,0.0,0.0,54.65
69,0.03,0.0,0,0.0,0.0,57.86
70,0.03,0,0.0,0.0,0.0,56.06
71,0.02,0,0.01,0.0,0.0,48.13
72,0.02,0.0,0,0.0,0.0,50.88
73,0.02,0,0.0,0.0,0.0,48.78
74,0.02,0.0,0,0.0,0.0,50.17
75,0.02,0.0,0,0.0,0.0,52.91
76,0.03,0.0,0,0.0,0.0,56.12
77,0.03,0,0.0,0.0,0.0,54.75
78,0.03,0.0,0,0.0,0.0,61.04
79,0.03,0,0.0,0.0,0.0,56.14
80,0.03,0.01,0,0.0,0.0,62.64
81,0.03,0,0.0,0.0,0.0,61.95
82,0.03,0.0,0,0.0,0.0,64.1
83,0.04,0.01,0,0.0,0.0,70.7
84,0.04,0,0.0,0.0,0.0,68.21
85,0.05,0.01,0,0.0,0.0,74.86
86,0.04,0,0.0,0.0,0.0,67.56
87,0.05,0.01,0,0.0,0.0,73.07
88,0.05,0,0.01,0.0,0.0,63.71
89,0.04,0,0.0,0.0,0.0,58.49
90,0.04,0,0.0,0.0,0.0,56.71
91,0.05,0.01,0,0.0,0.0,66.47
92,0.06,0.0,0,0.0,0.0,69.01
93,0.06,0.0,0,0.0,0.0,70.16
94,0.06,0,0.01,0.0,0.0,63.71
95,0.05,0,0.01,0.0,0.0,57.65
96,0.05,0.0,0,0.0,0.0,58.45
97,0.05,0,0.0,0.0,0.0,55.16
98,0.04,0,0.0,0.0,0.0,50.57
99,0.04,0,0.0,0.0,0.0,49.76
100,0.04,0,0.0,0.0,0.0,49.01
101,0.04,0,0.0,0.0,0.0,46.6
102,0.04,0.0,0,0.0,0.0,46.64
103,0.04,0,0.0,0.0,0.0,44.58
104,0.04,0.01,0,0.0,0.0,50.49
105,0.05,0.0,0,0.0,0.0,54.57
106,0.05,0.0,0,0.0,0.0,56.34
107,0.05,0.0,0,0.0,0.0,57.39
108,0.06,0.01,0,0.0,0.0,66.73
109,0.06,0,0.0,0.0,0.0,65.71
110,0.06,0.0,0,0.0,0.0,65.98
111,0.07,0.01,0,0.0,0.0,71.45
112,0.08,0.01,0,0.0,0.0,76.47
113,0.08,0.0,0,0.0,0.0,77.87
114,0.09,0.01,0,0.0,0.0,80.4
115,0.1,0.01,0,0.0,0.0,83.81
116,0.1,0.01,0,0.0,0.0,85.05
117,0.13,0.02,0,0.01,0.0,88.96
118,0.12,0,0.01,0.01,0.0,79.0
119,0.11,0,0.0,0.0,0.0,75.04
120,0.11,0.0,0,0.0,0.0,75.74
121,0.11,0,0.01,0.0,0.0,68.9
122,0.1,0,0.01,0.0,0.0,62.72
123,0.1,0,0.0,0.0,0.0,61.13
124,0.11,0.01,0,0.0,0.0,66.59
125,0.1,0,0.01,0.0,0.0,59.45
126,0.1,0,0.0,0.0,0.0,56.88
127,0.09,0,0.01,0.0,0.0,50.86
128,0.09,0.0,0,0.0,0.0,51.46
129,0.1,0.02,0,0.0,0.0,59.79
130,0.1,0,0.0,0.0,0.0,59.17
131,0.11,0.01,0,0.0,0.0,61.96
132,0.12,0.01,0,0.0,0.0,64.81
133,0.1,0,0.01,0.0,0.0,55.63
134,0.1,0,0.01,0.0,0.0,51.84
135,0.11,0.01,0,0.0,0.0,57.98
136,0.11,0,0.0,0.0,0.0,57.0
137,0.1,0,0.01,0.0,0.0,53.25
138,0.11,0.01,0,0.0,0.0,57.82
139,0.12,0.01,0,0.0,0.0,61.7
140,0.11,0,0.01,0.0,0.0,54.71
141,0.11,0,0.0,0.0,0.0,54.21
142,0.12,0.01,0,0.0,0.0,58.33
143,0.11,0,0.0,0.0,0.0,57.09
144,0.11,0,0.01,0.0,0.0,53.59
145,0.11,0,0.0,0.0,0.0,52.13
146,0.09,0,0.02,0.0,0.0,44.06
147,0.09,0.0,0,0.0,0.0,45.42
148,0.1,0.01,0,0.0,0.0,48.44
149,0.1,0.0,0,0.0,0.0,50.69
150,0.1,0,0.01,0.0,0.0,47.57
151,0.09,0,0.01,0.0,0.0,44.83
152,0.07,0,0.02,0.0,0.0,37.12
153,0.06,0,0.01,0.0,0.01,33.07
154,0.06,0,0.0,0.0,0.01,31.61
155,0.06,0.0,0,0.0,0.0,32.09
156,0.05,0,0.01,0.0,0.0,30.19
157,0.05,0.0,0,0.0,0.0,31.28
158,0.05,0,0.0,0.0,0.0,30.69
159,0.05,0,0.0,0.0,0.0,30.0
160,0.06,0.01,0,0.0,0.0,39.48
161,0.07,0.0,0,0.0,0.0,42.85
162,0.06,0,0.0,0.0,0.0,41.27
163,0.06,0.0,0,0.0,0.0,41.67
164,0.07,0.0,0,0.0,0.0,45.03
165,0.07,0.0,0,0.0,0.0,45.15
166,0.06,0,0.01,0.0,0.0,40.74
167,0.07,0.0,0,0.0,0.0,44.35
168,0.06,0,0.01,0.0,0.0,40.97
169,0.06,0.0,0,0.0,0.0,41.4
170,0.06,0,0.0,0.0,0.0,38.47
171,0.06,0.0,0,0.0,0.0,39.88
172,0.06,0.0,0,0.0,0.0,41.89
173,0.06,0,0.0,0.0,0.0,40.55
174,0.05,0,0.0,0.0,0.0,37.52
175,0.05,0.0,0,0.0,0.0,38.6
176,0.05,0,0.01,0.0,0.0,33.54
177,0.05,0,0.0,0.0,0.0,32.93
178,0.05,0.0,0,0.0,0.0,35.37
179,0.04,0,0.0,0.0,0.0,33.24
180,0.04,0.0,0,0.0,0.0,34.38
181,0.04,0,0.0,0.0,0.0,31.9
182,0.04,0.0,0,0.0,0.0,32.93
183,0.03,0,0.01,0.0,0.0,26.24
184,0.03,0.0,0,0.0,0.0,29.08
185,0.03,0,0.01,0.0,0.0,26.02
186,0.02,0,0.0,0.0,0.0,25.23
187,0.02,0,0.0,0.0,0.0,23.29
188,0.02,0.0,0,0.0,0.0,28.6
189,0.02,0,0.0,0.0,0.0,28.59
190,0.02,0.0,0,0.0,0.0,28.99
191,0.03,0.0,0,0.0,0.0,34.35
192,0.03,0,0.0,0.0,0.0,32.41
193,0.02,0,0.0,0.0,0.0,31.32
194,0.03,0.0,0,0.0,0.0,36.31
195,0.03,0.0,0,0.0,0.0,39.81
196,0.03,0,0.0,0.0,0.0,39.14
197,0.03,0.0,0,0.0,0.0,44.07
198,0.04,0.0,0,0.0,0.0,48.15
199,0.03,0,0.0,0.0,0.0,43.0
200,0.03,0.0,0,0.0,0.0,45.22
201,0.03,0.0,0,0.0,0.0,47.08
202,0.03,0,0.0,0.0,0.0,42.54
203,0.03,0.0,0,0.0,0.0,43.87
204,0.03,0.0,0,0.0,0.0,45.72
205,0.03,0,0.0,0.0,0.0,43.07
206,0.03,0.0,0,0.0,0.0,45.15
207,0.03,0,0.0,0.0,0.0,44.7
208,0.03,0.0,0,0.0,0.0,49.57
209,0.03,0.0,0,0.0,0.0,50.53
210,0.04,0.0,0,0.0,0.0,56.45
211,0.04,0,0.0,0.0,0.0,52.18
212,0.03,0,0.0,0.0,0.0,50.04
213,0.03,0,0.0,0.0,0.0,47.03
214,0.03,0,0.0,0.0,0.0,45.86
215,0.03,0,0.0,0.0,0.0,44.41
216,0.02,0,0.01,0.0,0.0,34.35
217,0.03,0.0,0,0.0,0.0,40.41
218,0.03,0,0.0,0.0,0.0,40.41
219,0.03,0.0,0,0.0,0.0,41.01
220,0.02,0,0.0,0.0,0.0,38.55
221,0.02,0,0.0,0.0,0.0,37.18
222,0.03,0.0,0,0.0,0.0,43.56
223,0.03,0.0,0,0.0,0.0,51.43
224,0.03,0,0.0,0.0,0.0,51.3
225,0.03,0,0.0,0.0,0.0,50.99
226,0.03,0,0.0,0.0,0.0,46.79
227,0.04,0.01,0,0.0,0.0,58.17
228,0.03,0,0.0,0.0,0.0,55.36
229,0.04,0.0,0,0.0,0.0,56.87
230,0.03,0,0.0,0.0,0.0,53.7
231,0.04,0.0,0,0.0,0.0,57.3
232,0.04,0.0,0,0.0,0.0,58.24
233,0.04,0,0.0,0.0,0.0,55.78
234,0.04,0.0,0,0.0,0.0,57.05
235,0.03,0,0.0,0.0,0.0,53.7
236,0.04,0.0,0,0.0,0.0,56.69
237,0.04,0,0.0,0.0,0.0,55.42
238,0.03,0,0.0,0.0,0.0,51.5
239,0.04,0.0,0,0.0,0.0,54.72
240,0.03,0,0.0,0.0,0.0,49.31
241,0.03,0,0.0,0.0,0.0,47.77
242,0.03,0.0,0,0.0,0.0,48.94
243,0.03,0,0.0,0.0,0.0,45.91
244,0.03,0,0.0,0.0,0.0,38.6
245,0.02,0,0.0,0.0,0.0,35.29
246,0.03,0.0,0,0.0,0.0,39.71
247,0.03,0.0,0,0.0,0.0,40.59
248,0.03,0.0,0,0.0,0.0,42.8
249,0.03,0.0,0,0.0,0.0,45.36
250,0.03,0.0,0,0.0,0.0,47.3
251,0.03,0,0.0,0.0,0.0,42.27
252,0.03,0,0.0,0.0,0.0,41.83
253,0.03,0,0.0,0.0,0.0,40.24
254,0.03,0.0,0,0.0,0.0,42.11
255,0.03,0.0,0,0.0,0.0,45.55
256,0.03,0.0,0,0.0,0.0,49.7
257,0.03,0,0.0,0.0,0.0,45.27
258,0.03,0.0,0,0.0,0.0,46.82
259,0.03,0,0.0,0.0,0.0,44.95
260,0.03,0.0,0,0.0,0.0,55.95
261,0.03,0.0,0,0.0,0.0,60.11
262,0.04,0.0,0,0.0,0.0,63.27
263,0.04,0,0.0,0.0,0.0,59.62
264,0.03,0,0.0,0.0,0.0,50.84
265,0.03,0.0,0,0.0,0.0,54.63
266,0.03,0,0.0,0.0,0.0,52.4
267,0.03,0.0,0,0.0,0.0,52.75
268,0.03,0.0,0,0.0,0.0,53.09
269,0.03,0.0,0,0.0,0.0,56.21
270,0.03,0.0,0,0.0,0.0,56.74
271,0.04,0.0,0,0.0,0.0,60.47
272,0.04,0,0.0,0.0,0.0,58.67
273,0.03,0,0.0,0.0,0.0,54.1
274,0.04,0.0,0,0.0,0.0,57.95
275,0.03,0,0.01,0.0,0.0,44.12
276,0.03,0,0.0,0.0,0.0,42.85
277,0.03,0.0,0,0.0,0.0,43.82
278,0.03,0.0,0,0.0,0.0,49.81
279,0.03,0,0.0,0.0,0.0,41.1
280,0.02,0,0.0,0.0,0.0,37.46
281,0.03,0.0,0,0.0,0.0,41.61
282,0.02,0,0.0,0.0,0.0,35.26
283,0.02,0.0,0,0.0,0.0,39.52
284,0.02,0,0.0,0.0,0.0,37.74
285,0.02,0.0,0,0.0,0.0,42.19
286,0.03,0.0,0,0.0,0.0,45.6
287,0.03,0.0,0,0.0,0.0,48.18
288,0.03,0.0,0,0.0,0.0,53.82
289,0.03,0,0.0,0.0,0.0,50.28
290,0.03,0.0,0,0.0,0.0,52.77
291,0.03,0.0,0,0.0,0.0,56.15
292,0.04,0.01,0,0.0,0.0,69.62
293,0.07,0.03,0,0.0,0.0,82.63
294,0.08,0.01,0,0.0,0.0,85.08
295,0.06,0,0.01,0.0,0.0,68.12
296,0.06,0,0.0,0.0,0.0,64.39
297,0.05,0,0.01,0.0,0.0,58.64
298,0.07,0.02,0,0.0,0.0,67.66
299,0.06,0,0.01,0.0,0.0,59.21
300,0.05,0,0.01,0.0,0.0,54.22
301,0.05,0,0.0,0.0,0.0,53.86
302,0.05,0.0,0,0.0,0.0,55.32
303,0.05,0,0.0,0.0,0.0,55.06
304,0.05,0,0.0,0.0,0.0,54.79
305,0.06,0.01,0,0.0,0.0,58.05
306,0.06,0,0.0,0.0,0.0,57.02
307,0.05,0,0.01,0.0,0.0,47.94
308,0.04,0,0.0,0.0,0.0,45.34
309,0.1,0.06,0,0.01,0.0,69.19
310,0.08,0,0.02,0.01,0.0,60.63
311,0.08,0.0,0,0.01,0.0,60.63
312,0.08,0.0,0,0.01,0.0,61.27
313,0.09,0.01,0,0.01,0.0,64.68
314,0.08,0,0.01,0.01,0.0,59.62
315,0.08,0,0.01,0.0,0.0,56.14
316,0.07,0,0.01,0.0,0.0,51.19
317,0.07,0.0,0,0.0,0.0,52.9
318,0.09,0.02,0,0.01,0.0,59.5
319,0.1,0.01,0,0.01,0.0,62.26
320,0.08,0,0.01,0.01,0.0,57.02
321,0.08,0,0.01,0.0,0.0,54.51
322,0.08,0.0,0,0.0,0.0,54.86
323,0.08,0,0.0,0.0,0.0,52.54
324,0.08,0.01,0,0.0,0.0,55.55
325,0.09,0.01,0,0.0,0.0,58.3
326,0.1,0.01,0,0.0,0.0,61.83
327,0.09,0,0.01,0.0,0.0,58.15
328,0.1,0.0,0,0.0,0.0,59.85
329,0.09,0,0.01,0.0,0.0,56.95
330,0.09,0,0.0,0.0,0.0,54.93
331,0.09,0.0,0,0.0,0.0,56.56
332,0.09,0,0.0,0.0,0.0,55.88
333,0.09,0.0,0,0.0,0.0,56.76
334,0.08,0,0.01,0.0,0.0,49.29
335,0.07,0,0.01,0.0,0.0,44.87
336,0.06,0,0.01,0.0,0.0,39.79
337,0.06,0,0.0,0.0,0.0,39.53
338,0.06,0,0.0,0.0,0.0,39.1
339,0.06,0,0.0,0.0,0.0,37.91
340,0.05,0,0.0,0.0,0.0,36.87
341,0.05,0,0.0,0.0,0.0,36.54
342,0.06,0.0,0,0.0,0.0,39.82
343,0.06,0.0,0,0.0,0.0,41.61
344,0.05,0,0.01,0.0,0.0,35.97
345,0.05,0.0,0,0.0,0.0,38.21
346,0.05,0,0.0,0.0,0.0,37.8
347,0.05,0.0,0,0.0,0.0,38.16
348,0.05,0.0,0,0.0,0.0,40.04
349,0.05,0.0,0,0.0,0.0,40.15
350,0.05,0,0.0,0.0,0.0,38.53
351,0.06,0.01,0,0.0,0.0,44.29
352,0.05,0,0.0,0.0,0.0,41.16
353,0.05,0,0.0,0.0,0.0,39.35
354,0.05,0.0,0,0.0,0.0,41.57
355,0.06,0.0,0,0.0,0.0,45.89
356,0.06,0.0,0,0.0,0.0,47.85
357,0.06,0.0,0,0.0,0.0,47.94
358,0.05,0,0.0,0.0,0.0,43.34
359,0.06,0.01,0,0.0,0.0,51.81
360,0.06,0,0.0,0.0,0.0,50.4
361,0.06,0.0,0,0.0,0.0,53.1
362,0.06,0,0.0,0.0,0.0,50.97
363,0.06,0,0.0,0.0,0.0,48.52
364,0.06,0.0,0,0.0,0.0,49.95
365,0.07,0.01,0,0.0,0.0,59.74
366,0.08,0.01,0,0.0,0.0,67.04
367,0.07,0,0.01,0.0,0.0,54.28
368,0.08,0.01,0,0.0,0.0,61.64
369,0.11,0.04,0,0.01,0.0,74.83
370,0.1,0,0.02,0.01,0.0,63.39
371,0.11,0.01,0,0.01,0.0,67.48
372,0.1,0,0.01,0.01,0.0,63.45
373,0.1,0,0.0,0.0,0.0,60.76
374,0.09,0,0.01,0.0,0.0,54.0
