date,close,gain,loss,avg_gain,avg_loss,rsi
1,0.000450129371312805,0,0,0,0,0
2,0.0004264230915938258,0,2.3706279718979228e-05,0,0,0
3,0.0003926354549370946,0,3.378763665673115e-05,0,0,0
4,0.0004039842261647807,1.1348771227686098e-05,0,0,0,0
5,0.0004085941414156425,4.60991525086179e-06,0,0,0,0
6,0.0003794555210667089,0,2.913862034893363e-05,0,0,0
7,0.0003808241190908783,1.3685980241694281e-06,0,0,0,0
8,0.00040341569898998906,2.2591579899110747e-05,0,0,0,0
9,0.00039481841623505447,0,8.597282754934591e-06,0,0,0
10,0.00039588176257712645,1.0633463420719786e-06,0,0,0,0
11,0.0004166267085603521,2.0744945983225676e-05,0,0,0,0
12,0.0004047801491309495,0,1.1846559429402632e-05,0,0,0
13,0.000401680991414409,0,3.0991577165404623e-06,0,0,0
14,0.0003972462856867853,0,4.434705727623738e-06,0,0,0
15,0.0004107224674134417,0.0,0,0.0,0.0,39.62
16,0.0004368732005848787,0.0,0,0.0,0.0,47.42
17,0.00042286559256646554,0,0.0,0.0,0.0,44.13
18,0.0004385294975209398,0.0,0,0.0,0.0,48.44
19,0.0004535806115328774,0.0,0,0.0,0.0,52.25
20,0.00045449203510957646,0.0,0,0.0,0.0,52.48
21,0.00042931815416546776,0,0.0,0.0,0.0,45.93
22,0.00042488081929647684,0,0.0,0.0,0.0,44.86
23,0.00042273759084674595,0,0.0,0.0,0.0,44.33
24,0.00042376934240336543,0.0,0,0.0,0.0,44.67
25,0.00043029648619605015,0.0,0,0.0,0.0,46.89
26,0.00046133545848886607,0.0,0,0.0,0.0,55.93
27,0.0005077445071350028,0.0,0,0.0,0.0,65.42
28,0.0005162313970839558,0.0,0,0.0,0.0,66.82
29,0.0005854703313337566,0.0,0,0.0,0.0,75.56
30,0.0005873059880092597,0.0,0,0.0,0.0,75.74
31,0.0006279744357887148,0.0,0,0.0,0.0,79.4
32,0.0006117327430122367,0,0.0,0.0,0.0,74.56
33,0.0006588022166248008,0.0,0,0.0,0.0,78.63
34,0.0006667810853574493,0.0,0,0.0,0.0,79.24
35,0.0006261632461940677,0,0.0,0.0,0.0,68.57
36,0.0006102087497491794,0,0.0,0.0,0.0,64.88
37,0.0005839855191556765,0,0.0,0.0,0.0,59.23
38,0.0005962141657556552,0.0,0,0.0,0.0,60.94
39,0.0005846388074016244,0,0.0,0.0,0.0,58.44
40,0.0005935133155608127,0.0,0,0.0,0.0,59.8
41,0.0005646748026996426,0,0.0,0.0,0.0,53.66
42,0.0005426125297355805,0,0.0,0.0,0.0,49.47
43,0.0005188992795541585,0,0.0,0.0,0.0,45.37
44,0.0004951449203602872,0,0.0,0.0,0.0,41.65
45,0.00047912905329158963,0,0.0,0.0,0.0,39.31
46,0.00045151589102187476,0,0.0,0.0,0.0,35.6
47,0.00045661118451041595,0.0,0,0.0,0.0,36.78
48,0.0004256350907059841,0,0.0,0.0,0.0,32.82
49,0.0004208611984182233,0,0.0,0.0,0.0,32.25
50,0.0004057494681834752,0,0.0,0.0,0.0,30.43
